מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
2067,לד,"דרושי ואגרות אדמו""ר הזקן קס,א: אגרת התשובה מהדו""ק 11*17 ס""מ. ד-ו, י-כב, לז-(חסר), מד-נד, סח-עג, עט-קעד דף והשאר חסר.",,,V,,,,V,,,,,,,,119
2068,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי על השער:"" זה התורת מאור תורתו של אדו""מר שיחי' סלה אמן ובניו שיחיו עד ביאת גואל משיחינו אמן..בשנת ה' מ""ו ש'נ'י'א'ו'ר' זלמן נרו' יאיר בכל תפוצות ישראל [ תקעג .[ ומתחת לזה (בכתב מאוחר יותר?): בשנת תקפד פג,א: זה הדרוש שאמר בן אדמו""ר לפני חסידים חדשים. בעלים: אדמו""ר מהרי""ד מלאדי.",,,V,V,,,V,,,,,,,,196
2069,לד,"דרושי אדמו""ר הזקן 12*19 ס""מ. כו""כ דפים שהיו עם בוך זה הועברו לבוך מס' 2041 ולבוך מס'    - 2045 השייכים אליהם.",,,V,,,,V,,,,,,,,116
2070,לד,"דרושי ואגרות אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ ריז,א: מה שנדפס בקונט' פוקח עורים רכד,א: תנאים בין ישראל להקב""ה להרלוי""צ 11*18 ס""מ. רעח דף. בעלים: זיסקינד שואל.",,,V,V,V,,V,,,,,,,,268
2071,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ ז,ב: דער עסק הפרנסה הנדפס בקו' פוקח עורים שלג,ב: מכתב אדה""ז לר' משה הלוי ע""ד השריפה. שלד,א: הגהות מהרב רא""י נ""י [ ריבלין, אליהו יוסף 12*19 ס""מ. שסה דף.",,,V,V,V,,V,,,,,,,,338
2072,לד,"דרושי אדמו""ר הזקן שנדפסו בס' אתהלך ליאזנא ועוד, ודרושי אדמו""ר הצ""צ קנו,א: מכתב מה""ר חיים חייקל מאמדור בסופו מכתב ה""ר פינחס, הרה""ק מקארעץ לה""ר סעדיל מדוניוויץ. 9*12 ס""מ. יג-רנז דף.",,,V,,V,,V,,,,,,,,240
2073,לד,"דרושי אדמו""ר הצ""צ על השער וכן על דף המגן: כ""ק שנת תרכג 17*21 ס""מ. שיד דף בעלים: שלום שיינין"" אשר הוא לומד עם בני אדמו""ר"".",,,,,V,,V,,,,,,,,294
2074,לד,"דרושי אדמו""ר הזקן ברובם משנת תקסב 20*26 ס""מ. קכב דף. בתחלתו מפתח לבוך אחר- העתקת תחלת בוך זה. מסומן במס'""                         .""61",,V,V,,,,V,,,,,,,,127
2075,לד,"אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר מהר""ש ועוד. מתחיל ממאמר"" ואת האלף"". 18*22 ס""מ. רמ דף. בעלים: ארי' ליב הכהן אראנין. אלטר שימחאוויץ"" קניתי מאלמנת הרי""ל אראנין הכ""מ ב' וירא ט""ו מ""ח תרצב""",,,V,V,,V,V,,,,,,,,179
2076,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 13*21 ס""מ. צט דף.",,,V,V,V,,V,,,,,,,,78
2077,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 12*18 ס""מ.  ה-רלז דף.",,,V,V,V,,V,,,,,,,,231
2078,לד,"דרושי אדמו""ר האמצעי כולל פירוש המלות 11*17 ס""מ. ט-קע דף. בעלים: ארי' ליב שו""ב דויטעפסק",,,,V,,,V,,,,,,,,158
2079,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי בסופו: נשלם ביום ג' יום שהוכפל כי טוב כ""ג אייר שקלאב                    תקפט 12*18 ס""מ. ס דף בעלים: (חותמת) ברוך במו""ה אהרן כץ ליוואנסק.     אלטר שימחוביץ.",,,V,V,,,V,,,,,,,,57
2080,לד,"דרושי אדמו""ר האמצעי 18*22 ס""מ. פט דף",,,,V,,,V,,,,,,,,92
2081,לד,"דרושי אדמו""ר הצ""צ ע""ס הפרשיות (וירא-מקץ) 19*25 ס""מ. (כמה מהם בגודל שונה) שסז דף. מסומן במס'""                          ""81",,,,,V,,V,,,,,,,,359
2082,לד,"דרושי אדמו""ר הזקן תקסב-תקסד העתקת הר""ש סופר מבוך               .1146 18.5*23.5 ס""מ. קלא דף.",,V,V,,,,V,,,,,,,,129
2083,לד,"דרושי אדמו""ר מהר""ש תרלח העתקת הר""ש סופר מבוך               .1089 18*22 ס""מ. קיג דף.",,V,,,,V,V,,,,,,,,113
2084,לד,"דרושי אדמו""ר מהר""ש תרכז העתקת הר""ש סופר מבוך               .1134 19*23.5 ס""מ. ער דף. מבוך זה נדפס הספר לראשונה.",,V,,,,V,V,,,,,,,,236
2085,לד,"דרושים בגוכתי""ק אדמו""ר מהר""ש * תרלג 18*23 ס""מ. תקסו דף. יש בו דפים בגודל שונה. ואצל דפים עד, שעב מונחים דפים בגוכתי""ק אדמו""ר מהרש""ב *",V,,,,,V,V,,V,,,,,,518
2086,לד,"דרושי אדמו""ר מהר""ש תרמא העתקת הר""ש סופר מבוך               .1130 18*23 ס""מ. קי דף.",,V,,,,V,V,,,,,,,,98
2087,לד,"דרושים בגוכתי""ק אדמו""ר מהר""ש * תרמב מחולק לשני כרכים. כ""א: קיא דף. בסופו הנחה בגוכתי""ק אדמו""ר מהרש""ב * כ""ב: קיג-רכח דף. 16*23 ס""מ.",V,,,,,V,V,,V,,,,,,110
2088,לד,"דרושים בגוכתי""ק אדמו""ר מהר""ש * תרמב מחולק לשני כרכים. כ""א: קיא דף. בסופו הנחה בגוכתי""ק אדמו""ר מהרש""ב * כ""ב: קיג-רכח דף. 16*23 ס""מ.",V,,,,,V,V,,V,,,,,,97
2089,לד,"דרושי אדמו""ר הצ""צ ע""ס הפרשיות (בראשית-תולדות) 19*24 ס""מ. רפ דף. מסומן במס'""                          ""81",,,,,V,,V,,,,,,,,273
2090,לד,"דרושי אדמו""ר הצ""צ תר העתק בוך 1135-6 ובבוך זה נמצא העתק הדפים שחסרים בביכלאך הנ""ל. 19*26 ס""מ. רס דף.",,V,,,V,,V,,,,,,,,254
2091,לד,"דרושי אדמו""ר הזקן תקסב-ד והוא העתק בוך                      .1146 בכ""מ הגהות בגוכתי""ק אדמו""ר מהר""ש אדמו""ר מהרש""ב 18*23 ס""מ. רסב דף. מסומן במס'""                         .""36",V,V,V,,,V,V,,V,,,,,,265
2092,לד,"אדמו""ר האמצעי פירוש המלות 12*19 ס""מ.",,,,V,,,,,,,,,,,555
2093,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי הלל, הר""ה מפאריטש ישראל, הרה""ק מרוזין מרדכי דוב, הרה""ק מהארנסטייפל אברהם, הר""א המלאך ועוד ,(59) קצו דף בעלים: דובער שפירא.",,,V,V,,,V,,,,,,,V,255
2094,לד,"דרושי אדמו""ר הצ""צ העתקת הר""ש סופר מבוך               .1029 19*23.5 ס""מ. (2), קפ דף. על דף הראשון נרשם בגוכתי""ק מהרש""ב (?) מה שרשם מהר""ש על בוך               .1029",V,V,,,V,V,V,,V,,,,,,171
2095,לד,"דרושים מאדמו""רי קאפוסט או לאדי ובהם גם דרושים מ: אדמו""ר הזקן בסוף ד""ה כי יקרא קן ציפור: העתקתי זאת מכתב יד הנמצא בפוחאוויטש תח""י השו""ב הישיש רש""ז הנאמר מפי אדמו""ר הזקן..אל ה""ר אלי' בארער..פה באברויסק..שנת חירו""ת [תרכד]..בבית ר' הלל הלוי שי' מפאריץ. בסופו דף עם העתקת פתקאות מאדמו""ר הצ""צ ופ""נ ממהרי""ל מקאפוסט 18*22 חותמת: ישיבת תורת אמת.",,V,V,,V,,V,,,,V,V,,,126
2096,לה,"שו""ת ופסקי דינים אדמו""ר הצ""צ על דף הכריכה מבפנים: בוך ב' 12*18 ס""מ. שעז דף.",,,,,V,,,,,,,,,,367
2097,לד,"דרושי אדמו""ר הצ""צ טעמי המצות הנדפס בס' דרך מצותיך 18*23 ס""מ. קסז דף. על הכריכה הקדמית מבפנים: שמואל בן אדמו""ר שליט""א [אדמו""ר מהר""ש].",,,,,V,V,V,,,,,,,,168
2098,לד,"דרושי אדמו""ר הצ""צ 19*25 ס""מ. קצג דף. על הבוך נרשם"" נו'                    .""9",,,,,V,,V,,,,,,,,198
2099,לד,"דרושי אדמו""ר הצ""צ טעמי המצות הנדפס בס' דרך מצותיך 18*22 ס""מ. קמא דף עם שער מקושט"" נכתב פה ק""ק שיווינשיק"".",,,,,V,,V,,,,,,,,140
2100,לד,"דרושי אדמו""ר הצ""צ טעמי המצות הנדפס בס' דרך מצותיך ועמו דרושי לאדי (?) 17.5*21 ס""מ. בעלים: פערלאוו ראב""ד בהאמיל.",,,,,V,,V,,,,,,,,209
2101,לד,"דרושי אדמו""ר הצ""צ טעמי המצות הנדפס בס' דרך מצותיך 17*21.5 ס""מ. קסד דף.",,,,,V,,V,,,,,,,,161
2102,לד,"דרושי אדמו""ר הצ""צ טעמי המצות הנדפס בס' דרך מצותיך 14*22 ס""מ. קפז דף.",,,,,V,,V,,,,,,,,182
2103,לד,"דרושי אדמו""ר הצ""צ כולל שרש מצות התפלה ועוד טעמי מצות הנדפס בס' דרך מצותיך בסוף ד""ה ר' חזקי' פתח, שם הכותב: מנחם נחום יוסף בהרש""ז ראזין. 18*22 ס""מ.",,,,,V,,V,,,,,,,,146
2104,לד,"דרושי אדמו""ר האמצעי אמרי בינה אדמו""ר הצ""צ טעמי המצות הנדפס בס' דרך מצותיך ודרושי אדמו""ר מהרחש""ז מלאדי 17*22 ס""מ. תתח דף. בעלים: יהודה ליב בהרה""ק  יצחק דובער שניאורסאהן רב בהאמעל.",,,,V,V,,V,,,,,,,,792
2105,לד,"דרושי אדמו""ר הצ""צ כולל גם טעמי המצות הנדפס בס' דרך מצותיך 18*23 ס""מ. תפג דף הי' אצל אדמו""ר מהרי""ד מלאדי",,,,,V,,V,,,,,,,,479
2106,לד,"ה    חקירה אדמו""ר הצ""צ המפתח בתחלתו בהשוואה להנדפס - בגוכתי""ק אדמו""ר נשיא דורינו 18.5*23 ס""מ. קכח דף.",V,,,,V,,,,,,,,,,129
2107,לד,"ה    חקירה אדמו""ר הצ""צ 18*22 ס""מ.  רכט דף.",,,,,V,,,,,,,,,,218
2108,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ. קסה דף המפתח בסופו. הי' אצל אדמו""ר מהרי""ד מלאדי.",,,,,V,,V,,,,,,,,164
2109,לד,"דרושי אדמו""ר האמצעי אדמו""ר הצ""צ 19*24 ס""מ. תשכג דך (דפים קנה-רפט חסרים). במפתח ענינים - ציונים בגוכתי""ק אדמו""ר נשיא דורינו על הכריכה מבחוץ: פסח ספ[ירת ] הע[ומר] שבוע[ות].",V,,,V,V,,V,,,,,,,,487
2110,לד,"דרושי אדמו""ר הצ""צ המפתח בגוכתי""ק אדמו""ר שליט""א, ובדף שלאחר המפתח רשם"" בבוך זה הנרשם עליו N44 מן דף מ' עד דף סג הוא כת""י הרב  ר' שניאור ז""ל בהרב ר' יעקב ז""ל בן אדמו""ר הצמח צדק נ""ע זי""ע מליבא'"" 18*23 ס""מ. ד-תע דף",V,,,,V,,V,,,,,,,,460
2111,לד,"החות מדרושי אדמו""ר הצ""צ תרכ-תרכד בכת""י הר""ש סופר 19*24 ס""מ. קצו דף. קצג,א: ל' מהר""ה ז""ל מפאריטש, נא' כ""ד טבת תרי""ג.",,,,,V,,V,,,,,,,V,186
2112,לד,"דרושי הלל, הר""ה מפאריטש וקצת מ: אדמו""ר הצ""צ 18*21 ס""מ. קז דף.",,,,,V,,V,,,,,,,V,104
2113,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ.  קמו דף. בעלים: דוד מאיר רבינאוויץ.",,,,,V,,V,,,,,,,,156
2114,לד,"דרושי אדמו""ר הצ""צ ואחדים מ: אדמו""ר האמצעי 18*24 ס""מ (עם דפים בגודל שונה) תשיד דף. על המפתח כמה ציונים בגוכתי""ק אדמו""ר שליט""א.",V,,,V,V,,V,,,,,,,,572
2115,לד,"דרושי ואגרות אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ הלל, הר""ה מפאריטש 18*22 ס""מ. תצב (3) דף, המפתח בסופו. תפח,א: צוואת הרה""ק מ' אהרן מקארלין בעלים: יהודה ליב שניאורסהאן רב בוויטעפסק",,,V,V,V,,V,,,,,,,V,480
2116,לד,"דרושי אדמו""ר הזקן תקסח 18*23 ס""מ. תסה דף.",,,V,,,,V,,,,,,,,460
2117,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ 18*22 ס""מ. רחצ דף. בעלים: דן תומרקין מראהטשוב.",,,V,,V,,V,,,,,,,,286
2118,לד,"דרושי אדמו""ר הזקן העתק מבוך להבין ענין זווג הנשמות בג""ע מס'                                .2220 17*22 ס""מ. קלד דף. ציוני הדפים בגוכתי""ק אדמו""ר מהריי""צ.",V,V,V,,,,V,,,V,,,,,131
2119,לד,"דרושי אדמו""ר הצ""צ על סדר הפרשיות, בראשית-ויחי. 18*22.5 ס""מ. (3), קצט דף.",,,,,V,,V,,,,,,,,191
2120,לד,"דרושי אדמו""ר הצ""צ 17*22 ס""מ. תמט דף. על הכריכה: כתבי קודש מלוקטים.",,,,,V,,V,,,,,,,,439
2121,לד,"דרושי אדמו""ר הצ""צ 11*17 ס""מ. (1), רלב דף.",,,,,V,,V,,,,,,,,234
2122,לד,"דרושי אדמו""ר הצ""צ 12*17.5 ס""מ. שנה דף. על הכריכה: כתבי קודש מלוקטים",,,,,V,,V,,,,,,,,328
2123,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ. ת דף.",,,,,V,,V,,,,,,,,397
2124,לד,"דרושי אדמו""ר האמצעי אדמו""ר הצ""צ כולל טעמי המצות הנדפס בס' דרך מצותיך 18.5*24 ס""מ. רצו דף (באמצע חסר כמה דפים) בתחלתו מפתח בגוכתי""ק אדמו""ר שליט""א. בעלים יוסף ליב זאסניץ ומצורף צילום מפתח הבוך מארכיון זאסניץ.",V,V,,V,V,,V,,,,,,,,296
2125,לד,"דרושי אדמו""ר הצ""צ על סדר במדבר דברים 18*23 ס""מ. הי' אצל אדמו""ר מהרי""ד מלאדי",,,,,V,,V,,,,,,,,654
2126,לד,"דרושי אדמו""ר הצ""צ על סדר התפלה 19*23 ס""מ. קמח דף הי' אצל אדמו""ר מהרי""ד מלאדי.",,,,,V,,V,,,,,,,,149
2127,לד,"דרושי אדמו""ר הצ""צ 18*23 ס""מ. שסח דף חותמת: יהודה ליב שניאורסאן רב בוויטעפסק",,,,,V,,V,,,,,,,,383
2128,לד,"דרושי אדמו""ר הצ""צ ואחדים מ: אדמו""ר הזקן ובסופו מ: אדמו""ר מהרש""ז מקאפוסט 18.5*24 ס""מ. שיח דף",,,V,,V,,V,,,,V,,,,405
2129,לד,"דרושי אדמו""ר האמצעי אדמו""ר הצ""צ 18.5*24 ס""מ. קכט דף בעלים: דובער ליוויאנט.",,,,V,V,,V,,,,,,,,126
2130,לד,"דרושי אדמו""ר הצ""צ אדמו""ר מהרש""ז מקאפוסט ועוד. 17.5*23 ס""מ (יש בו דפים בגודל שונה) ריד דף. בעלים: אראנאוו.",,,,,V,,V,,,,V,,,,224
2131,לד,"דרושי אדמו""ר הצ""צ 18.5*23 ס""מ. שעד דף (חסר דפים קג-קל) המפתח בסופו.",,,,,V,,V,,,,,,,,332
2132,לד,"דרושי אדמו""ר הצ""צ ואחדים ל: אדמו""ר הצ""צ 17*21 ס""מ. קנג דף בעלים: רי""ש בק""ק דובראוונא. יצחק חן.",,,,,V,,V,,,,,,,,148
2133,לד,"דרושי אדמו""ר מהר""ש המשך חייב אדם לברך תרלח כת""י הר""ש סופר. בסופו בגוכתי""ק אדמו""ר שליט""א:"" הסיום ראה בהנדפס"" 13.5*21 ס""מ.",V,,,,,V,V,,,,,,,,51
2134,לד,"דרושי אדמו""ר הצ""צ ואחדים ל: אדמו""ר הזקן 17*23 ס""מ. נב דף. בעלים: דובער יהודה ב""ר אברהם מליובאוויטש",,,V,,V,,V,,,,,,,,53
2135,לד,"דרושי אדמו""ר מהר""ש המשך חייב אדם לברך תרלח ועוד ג' מאמרים מלקו""ת לג""פ 17*22 ס""מ. בעלים: דוד מאיר רבינאוויץ מבאסטאן.",,,,,,V,V,,,,,,,,115
2136,לד,"דרושי אדמו""ר הצ""צ ועוד. 11.5*18 ס""מ. (1), שנה דף הי' אצל אדמו""ר מהרי""ד מלאדי.",,,,,V,,V,,,,,,,,352
2137,לד,"דרושי אדמו""ר הצ""צ 17*21 ס""מ. תה דף (חסר בסופו)",,,,,V,,V,,,,,,,,411
2138,לד,"דרושי אדמו""ר הצ""צ ואדמו""רי לאדי 17*20.5 ס""מ. ט-תקלב דף.",,,,,V,,V,,,,,,,,511
2139,לד,"דרושי הלל, הר""ה מפאריטש נחום טובי' מפיראטין ובסופו ביאור איהו וחיוהי ל: ז, ר""ז בר""י משקלאוו 17.5*22 ס""מ. תס דף בעלים: יהודה ליב שניאורסאהן רב בוויטעפסק",,,,,,,V,,,,,,,V,458
2140,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ אדמו""ר מהרש""ז מקאפוסט כמה מהנחות קאפוסט - ע""י מאיר בן רמ""ב פייגין מצערניגאוו 17*23 ס""מ. (יש בו גם דפים בגודל שונה) רלב דף. בעלים: אברהם לוין מהאמיל",,,V,V,V,,V,,,,V,,,,231
2141,לד,"דרושי אדמו""ר הצ""צ ואחדים ל: אדמו""ר האמצעי 18*23 ס""מ. תקפא דף. דפים קעא-קצח, שע-שפח - חסרים.",,,,V,V,,V,,,,,,,,470
2142,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ 18*22 ס""מ. תמט דף.",,,V,,V,,V,,,,,,,,443
2143,לה,"בוך  נומר יט - בשם זה נזכר ע""י המעתיקים בבוך על משניות ע' שכו,א. כולו גוכתי""ק אדמו""ר הצ""צ * וגם המפתח שנמצא בראשו. רובו שו""ת מחלק יו""ד ואה""ע, והתחלתו בשו""ת יו""ד סי' מב. 28*21 ס""מ. (1) -מפתח התוכן עד דף לג,א-, שני דפים חלק, א-עו דף מסומנים בשוה""ג משמאל, ולאח""ז כמה דפים חלק. - כנראה משיווי כל הדפים קדמה הכריכה לכתיבה. וכידוע אשר בתחלת כל שנה היו מביאים להצ""צ כרכים אחדים נייר חלק ובהם הי' רושם חידושיו, בנגלה ונסתר, במשך שנה זו. והוא מלבד מה שכתב בגליונות נפרדים ורק משך זמן אחרי הכתיבה נכרכו ביחד. - כל הנ""ל מתיאור כ""ק אדמו""ר שליט""א.",,,,,V,,,,,,,,,,70
2144,לה,"בוך  מה שהוקשה - ע""ש התחלתו, והיא תשובה הנדפסת בחלק יורה דעה סי' ר (ושם נדפס בטעות"" שהקשה"" חסר וא""ו). - חלק גדול ממנו גוכתי""ק אדמו""ר הצ""צ * 24*19 ס""מ. אבל נכרכו בו שאלות ומכתבים אחדים בני גודל שונה. רובו שו""ת יו""ד. בראשו ג' דפים בלי ציון. אח""כ: א-תקנט. הדפים לה-סה, תקטו-תקנט (מלבד תקנו)-חלק. דף שע-שעג הוא מפתח -גוכתי""ק הצ""צ- להדפים סו-שסא. דף שעה-שעו הוא מפתח -ג""כ גוכתי""ק - להדפים שעז ואילך. וכנראה בוך זה נתחבר משנים (או משלשה) קובצי כת""י. - כל הנ""ל מתיאור כ""ק אדמו""ר שליט""א. דפים קפד-רלט שבבוך 1041 שייכים לבוך זה.",,,,,V,,,,,,,,,,393
2145,לה,"ליקוט שו""ת מ: אדמו""ר הצ""צ * ובני דורו, ע""י ה""ר הורביץ, ישכר בער הלוי (רב בליובאוויטש) רובו בכתב ידו, אבל נכרכו בו גם דפים רבים בגוכתי""ק הצ""צ, שו""ת א' מהרב ליפמן מלאדי ושו""ת א' מהרב נחמיה מדובראוונא 12*19 ס""מ. (4), צ דף",V,,,,V,,,,,,,,,,94
2146,לה,"כ""ק מלוקטים - כ""כ על הכריכה. הי' אצל החסיד ר' אברהם חיים ראזענבלום (מפליעשניץ ואח""כ בארה""ב), וכנראה הוא כתב ידו. רובו העתק מאמרי דא""ח רק בתחלתו (דף א-כב) הוא מה שהעתיק ""מגכתי""ק אדמו""ר מהרמ""מ נבג""מ זי""ע"" בנגלה 21*17 ס""מ. דפים: א-קעה. באו בו שו""ת או""ח, קטעים מהנדפס בפס""ד ועוד. - מתיאור כ""ק אדמו""ר שליט""א.",V,V,,,,,V,,,,,,,,173
2147,לה,"שו""ת בדיני מקוואות מ: אדמו""ר הצ""צ מתחיל:"" מה""ב ביאור על תיקון המקוה המבואר בש""ע אאזמו""ר הגאון ז""ל"" כת""י מעתיק א'. 25*35 ס""מ. כג דף.",,,,,V,,,,,,,,,,46
2148,לד,"דרושי אדמו""ר הצ""צ טעמי המצות הנדפסים בס' דרך מצותיך 22*28.5 ס""מ. קסו דף. על דף המגן הקדמי: נו'                 10",,,,,V,,V,,,,,,,,169
2149,לד,"דרושי אדמו""ר הצ""צ והרבה מהם בהנחות של: הלל, הר""ה מפאריטש 22*35 ס""מ.,(1) רנה דף. בעלים: יהודה ליב שניאורסאהן רב בוויטעפסק",,,,,V,,V,,,,,,,V,258
2150,לד,"דרושי אדמו""ר הצ""צ ועוד 17*21.5 ס""מ. (חסר בתחילתו ויש בו הרבה דפים ריקים).",,,,,V,,V,,,,,,,,61
2151,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ אדמו""ר מהרחש""ז מלאדי אדמו""ר מהרש""ז מקאפוסט 18*22.5 ס""מ. 453 דף. :94-92 בדיני טריפות. בעלים: פערסאן.",,,V,V,V,,V,,,,V,,,,449
2152,לד,"דרושי אדמו""ר הצ""צ אדמו""ר מהרחש""ז מלאדי 17*23 ס""מ. דפים: כה-נ, א-קע. נלקח משני ביכלך, נשלח מירושלים בשנת תש""ט ועל המעטפה רשם כ""ק אדמו""ר שליט""א:"" א) כנראה מאמרי הצ""צ א' נדפס בדרמ""צ. א' משנת תקצ""ה. ב) כנראה ביכל ממאמרי ליאדי על אחדים רשום ליאדי תרל""ז או תרל""ט""",,,,,V,,V,,,,,,,,194
2153,לד,"דרושי אדמו""ר מהרחש""ז מלאדי תרלז ועליו הגהות בגוכתי""ק 18*23 ס""מ. מכיל כ1000- דפים בלתי מסומנים",V,,,,,,V,,,,,,,,948
2154,לד,"דרושי אדמו""ר הצ""צ על סדר הפרשיות דספר בראשית ועוד. 18*23 ס""מ. דפים: א-תקע, קכד-קמ, פה-קנד, צ-קסד, קעג-רעב. על הכריכה מבחוץ:"" כתבי קודש בראשית א""",,,,,V,,V,,,,,,,,614
2155,לד,"בוך  במדבר דרושי אדמו""ר הצ""צ על סדר הפרשיות דספר במדבר ועליו הגהות אדמו""ר מהרחש""ז מלאדי * בכתי""ק. 17.5*23 ס""מ. תשס דף (סדר הדפים מבולבל).",,,,,V,,V,,,,,,,,737
2156,לד,"דרושי אדמו""ר הצ""צ 18*24 ס""מ. רצט דף. על גב הכריכה: כ""ק ספר בראשית",,,,,V,,V,,,,,,,,308
2157,לד,"דרושי אדמו""ר הצ""צ אדמו""ר מהרחש""ז מלאדי * עם הגהות בכתי""ק. 18*22 ס""מ. שיב-תרעה דף.",,,,,V,,V,,,,,,,,377
2158,לד,"דרושי אדמו""ר מהרי""ד מלאדי תרסג-תרסט כולל גם אגרת הויכוח והשלום ועוד 17*21.5 ס""מ. שז דף. בעלים: יהודה ליב שניאורסאהן רב בוויטעפסק",,,,,,,V,,,,,,,,309
2159,לד,"דרושי אדמו""ר מהרחש""ז מלאדי * עם הגהות בכתי""ק. ואחדים מ: אדמו""ר הצ""צ 23*18 ס""מ. תרא דף. בעלים: אדמו""ר מהרי""ד מלאדי על גב הכריכה: מאמרים ת[ר]לא. תרלא",,,,,V,,V,,,,,,,,473
2160,לד,"כנראה דרושי אדמו""ר מהרחש""ז מלאדי 18*23 ס""מ. בסופו קץ על שנת תרל""ח על גב הכריכה:"" בראשית שמות"" בעלים: אדמו""ר מהרי""ד מלאדי",,,,,,,V,,,,,,,,351
2161,לד,"דרושי אדמו""ר מהרחש""ז מלאדי * עם הגהות בגכתי""ק. בדף המגן הקדמי:"" מפורים תרכט עד ר""ה תר""ל תרכט-תרל 18*23 ס""מ. תרצב-תתשכו דף. בעלים: אדמו""ר מהרי""ד מלאדי",,,,,,,V,,,,,,,,314
2162,לד,"דרושי אדמו""ר מהרחש""ז מלאדי * עם הגהות בגכתי""ק. תרלח ועוד. עם כמה דרושים מ: אדמו""ר הצ""צ 12*18.5 ס""מ. בעלים: אדמו""ר מהרי""ד מלאדי",,,,,V,,V,,,,,,,,304
2163,לד,"דרושי אדמו""ר מהרחש""ז מלאדי * עם הגהות בגכתי""ק תרל-תרלא 11*18 ס""מ. בעלים: יהודה ליב שניאורסאהן רב בוויטעפסק",,,,,,,V,,,,,,,,321
2164,לד,"דרושים ואגרות אחדים מ: אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 11*17 ס""מ. קלד דף, המפתח בסופו. על השער:"" מאדמו""ר שליט""א שנת תר""ך נדפס בקאפוסט"".",,,V,V,V,,V,,,,V,,,,136
2165,לד,"דרושי אדמו""ר מהר""ש 11*17 ס""מ.",,,,,,V,V,,,,,,,,138
2166,לד,"דרושי אדמו""ר מהרחש""ז מלאדי * בגכתי""ק עם הגהות תרלו-תרלז 11.5*18.5 ס""מ. בעלים: אדמו""ר מהרי""ד מלאדי",,,,,,,V,,,,,,,,410
2167,לד,"דרושי אדמו""ר הצ""צ על סדר הפרשיות דברים-עקב 18.5*24 ס""מ. (יש בו דפים בגודל שונה) תקפב דף.",,,,,V,,V,,,,,,,,344
2168,לד,"דרושי אדמו""ר הצ""צ על סדר הפרשיות תולדות-ויחי 18.5*23 ס""מ. (3), טו-תקצז דף. הי' אצל אדמו""ר מהרי""ד מלאדי.",,,,,V,,V,,,,,,,,437
2169,לד,"דרושי אדמו""ר מהרחש""ז מלאדי * עם הגהות בגכתי""ק 18*23 ס""מ. דפים: א-רצו. (במפתח נרשם עד דף תקיט).",,,,,,,V,,,,,,,,250
2170,לד,"דרושי אדמו""ר הצ""צ כולל קיצור תניא. שרש מצות התפלה. ועוד. בסופו רשימת דברים בשם הרלוי""צ מבארדיטשוב 17*22.5 ס""מ. תעב דף.",,,,,V,,V,,,,,,,,452
2171,לד,"דרושי אדמו""ר מהרש""ז מקאפוסט הפרט שנכתב על השער הוא: תרלו 16*21 ס""מ. רה דף.",,,,,,,V,,,,V,,,,208
2172,לד,"דרושי אדמו""ר מהרחש""ז מלאדי 18*23 ס""מ. (1), תע דף ע""ג הכריכה:"" בראשית שמות"" בעלים: אדמו""ר מהרי""ד מלאדי. יהודה ליב שניאורסאהן רב בוויטעפסק",,,,,,,V,,,,,,,,474
2173,לד,"דרושי אדמו""ר הצ""צ על פרשיות דברים-ברכה 18*22.5 ס""מ. שסב דף. בעלים: אדמו""ר מהרי""ד מלאדי",,,,,V,,V,,,,,,,,361
2174,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ אדמו""ר מהר""ש אדמו""ר מהרש""ז מקאפוסט כולל גם אגרות 17.5*22 ס""מ. רצו דף בעלים: אלטר שימחאוויץ",,,V,V,V,V,V,,,,V,,,,294
