מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
50,לד,"דרושי אדמו""ר הזקן נכתב בחייו בדף צד: אגרת מאדמור שיחי' רובו מאמרים קצרים מלפני פטרבורג 19*16 ס""מ. קא דף",,,V,,,,V,,,,,,,,83
51,לד,"דרושי אדמו""ר הצ""צ * דפים פ-פג בגוכתי""ק (שייך לבוך    .(?1056 דפים קפד-קפו בגוכתי""ק. 18*21 ס""מ. שנד דף.",V,,,,V,,V,,,,,,,,362
52,לד,"כולל מאמרי אדמו""ר הזקן, האמצעי והצ""צ נכתב בחיי אדמו""ר הצ""צ כמה מהם נאמרו בבישענקאוויץ. מלפני תקצ""ה. 23X18 ס""מ. רי דף.",,,V,V,V,,V,,,,,,,,207
53,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ 18*23 ס""מ. (2) שצח דף.",,,V,,V,,V,,,,,,,,409
54,לד,"דרושי אדמו""ר הצ""צ 18*23 ס""מ. (2), שעט דף.",,,,,V,,V,,,,,,,,386
55,לד,"מלוקט מדרושי אדמו""ר הזקן אדמו""ר הצ""צ ובניו. ח""ב מבוך זה כולל גם שו""ת וחדושי הצ""צ ונסמן במס'                      .93 17.5*22 ס""מ. ח""א: קנז דף. ח""ב:קנח-שנא דף",,,V,,V,,V,,,,,,,,158
56,לד,"דרושי אדמו""ר מהרש""ז מקאפוסט בכמה מקומות נרשם: תרמא-נג 13*21 ס""מ. (100) דף",,,,,,,V,,,,V,,,,84
57,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ דפים א-קכד העתק בוך בראשית ב דפים קסג-רד העתק בוך תרי""ט ב'. תרי""ט ג'. בסופו דרוש א' ל: אדמו""ר מהר""ש 18*24 ס""מ. (3), תמג דף.",,V,V,,V,V,V,,,,,,,,412
58,לד,"דרושי והנחות"" מו""ה יעקב יוסף..שו""ב..פאלצק"" תרכח-תרלז בסופו - הגהות שהוסיף בשנת תרנד 18*23 ס""מ. תקו דף. בדף שלאחר המפתח:"" מדי התעכבתי בפה פאלצק .. נגש לפני הרב הישיש .. יעקב יוסף .. קיבוץ כתבים .. דרושים ע""ד הקבלה והחסידות כפי אשר קיבל מרבותינו .. וראויים הדברים להעלותם על מזבח הדפוס .. ע""ת ק""ץ לפ""ק.. חנן במה""ו ישראל אליעזר דרדקי מ""ץ בק""ק באראווקא פלך קורלאנד",,,,,,,V,,,,,,,,526
59,לד,"מאמרי אדמו""ר הזקן משנים תקס""ב - תקס""ח מאמרים אחדים מאדמו""ר הצ""צ (נדפסו באוה""ת) 18*11 ס""מ. קכט דף ניתן ע""י ה""ר ארי' קולטמן",,,V,,V,,V,,,,,,,,128
60,לד,"דרושי אדמו""ר מהר""ש 17*22 ס""מ. (1), רנט דף.",,,,,,V,V,,,,,,,,261
61,לד,"דרושי אדמו""ר הצ""צ 19*26 ס""מ. שנה דף בעלים: גארדין, אפרים יצחק",,,,,V,,V,,,,,,,,347
62,לד,"דרושי אדמו""ר הצ""צ 19*26 ס""מ. (1), שעה דף. דפים רפד-רצב. שיד-שכו - באותיות רש""י.",,,,,V,,V,,,,,,,,355
63,לד,"דרושי אדמו""ר הצ""צ * על סדר השנה. וכמה תשו' מוגה בגוכתי""ק. רלח,א הועתק מחלק יד 14 סי' לט. נדפס בשו""ת חו""מ סי' לו. רלח,ב מחלק 14 דף רצ""ו ע""א. נדפס בסי' כ רמז,א הועתק מחלק ח' סי' מ""ד. נדפס בשו""ת חו""מ סי' יח. רמט,א מחלק י""ד. נדפס בשו""ת חו""מ סי' כז 19*25 ס""מ. (1), רפו דף.",V,,,,V,,V,,,,,,,,313
64,לד,"דרושי אדמו""ר הצ""צ אדמו""ר מהר""ש ועוד. חסר בתחלה וסוף. 17*21 ס""מ. שצה דף.",,,,,V,V,V,,,,,,,,386
65,לד,"כנראה דרושי אדמו""ר מהרש""ז מקאפוסט 18*22 ס""מ. (1), שמו דף.",,,,,,,V,,,,V,,,,349
66,לד,"דרושי אדמו""ר הצ""צ * דפים צה-צז: הנחת אדמו""ר האמצעי מדרושי תקסז דפים עה-פ (הא') - הנחות מדרושי הצ""צ מ: הלל, הר""ה מפאריטש 20*27 ס""מ. קכד דף. בעלים: משה ליב בהרב מבארדיטשוב",,,,V,V,,V,,,,,,,V,129
67,לד,"כתב יד מעתיק כנראה סמוך לאמירתם של מאמרי אדמו""ר הזקן הנחות אדמו""ר האמצעי תקסה תקסו תקסז תקסח 23*21 ס""מ. קח דף. בתחלתו מונחים דפים ממאמר ויאמר..פסל תרלד",,,V,V,,,V,,,,,,,,116
68,לד,"דרושי אדמו""ר הזקן (הנחות אדמו""ר האמצעי) תקס""ה- תקס""ו בדף הראשון:"" ביחעל נומער גימל"". 21*25 ס""מ. לט דף (ע""פ המפתח היו רכ דף) בדף הראשון - חותמת וחתימת הצנזור. במפתח: שייך להרב המובהק החכם מוהר""ר שמרי' הזרחי נ""י.",,,V,V,,,V,,,,,,,,47
69,לד,"ליקוטי אמרים תניא אדמו""ר הזקן מהדורה קמא. עד פרק מב בכתב יד באותיות רש""י בכתיבת יד סופר יפה 16*10 ס""מ. ל דף ע""ג הכריכה: שייך להרבני... ישראל צבי נ""י שייך להרבני ..אברהם במוה""ר יהודה. מספרי המנוח ר' אשר ב""ר יהודה פינצי",,,V,,,,,,,,,,,,0
70,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ * דפים ד-ז - מוגה בגוכתי""ק אדמו""ר הצ""צ. דפים שאחר דף קיא מוגה בגוכתי""ק הצ""צ דפים ריז-ריט מוגה בגוכתי""ק אדמו""ר הצ""צ דף רכ ענין בנגלה. 18*23 ס""מ. רכ דף.",V,,V,V,V,,V,,,,,,,,256
71,לד,"דרושי אדמו""ר הצ""צ בתחילתו מפתח לחמש ביכלאך והוא ביכל ה כת""י מעתיק 21*17 ס""מ. רעז דף",,,,,V,,V,,,,,,,,292
72,לד,"דרושי אדמו""ר הצ""צ 17*22 ס""מ. דפים: יא-קסה",,,,,V,,V,,,,,,,,187
73,לד,"מלוקט מדרושי אדמו""ר הצ""צ ובניו הלל, הר""ה מפאריטש ועוד. 14*21 ס""מ. (1), רלו דף",,,,,V,,V,,,,,,,V,277
74,לד,"דרושי אדמו""ר הצ""צ נמצא רק התחלתו, הכולל מפתח ודרוש הראשון. 17*22 ס""מ.",,,,,V,,V,,,,,,,,5
75,ל,"דפים לג-נב לקוטי תורה לוריא, יצחק (האריז""ל) על פרשיות בא - אחרי דפים ב - קעו: פרי עץ חיים וויטאל, חיים מכתהאריז""ל. 16.5*19.5 ס""מ. כתיבה אשכנזית רהוטה. מיוחסת אל כתי""ק ה""ר שבתי מרשקוב*",,,,,,,,,,,,,,,197
76,לד,"דרוש בכת""י מעתיק שרש מצות התפלה אדמו""ר הצ""צ 17*21 ס""מ",,,,,V,,V,,,,,,,,74
77,לד,"דרושי אדמו""ר הצ""צ 17*21 ס""מ. (1), שכה דף (א-קעט חסרים). בדף רס: פ' נשא תרכג",,,,,V,,V,,,,,,,,121
78,לד,"דרושי אדמו""ר הזקן (הנחות אדמו""ר האמצעי), רובם משנת תקסד 20.5*13 ס""מ. קה דף. חלקם נדפס בסידור. נעתקו במס'        1146 בעלים: יצחק חר""ש, וויטעפסק.",,,V,V,,,V,,,,,,,,142
79,לד,"""ביחיל פערטיל"" (כ""נ ע""י המו""ל של דרך מצותיך). דרושי אדמו""ר הצ""צ * בגוכתי""ק. כולל סהמ""צ שלו (מפו""ר עד בר""כ) וקיצור תניא ומכאן נדפס בספר דרך מצותיך 21.5*13 ס""מ. לט, צז דף. בעלים: הרה""ג רש""נ [מבברויסק]",V,,,,V,,V,,,,,V,,,136
80,לד,"דרושי אדמו""ר הזקן 18.5*11 ס""מ. צו דף. דפים יב-יג, סח חסר. בעלים: קרעמער, זלמן מדאקשיץ. העתקה בכ""י                           392",,V,V,,,,V,,,,,,,,97
81,לד,"דרושי אדמו""ר הזקן תקסב הנחות אדמו""ר האמצעי עם הגהות בגוכתי""ק אדמו""ר הצ""צ * 22*17.5 ס""מ.  (1) סד דף. מכאן נדפס ספר מאמרי אדמור הזקן תקס""ב, ושם ע' שיט - תיאור כת""י זה בפירוט",V,,V,V,V,,V,,,,,,,,64
82,לד,"בוך שני פערטיל - כ""נ בכ""מ. רשימות ודרושי אדמו""ר הצ""צ * בגוכתי""ק. כולל שרש מצות התפלה הנדפס בס' דרך מצותיך בסופו כמה תשובות (גוכתי""ק). 18*23 ס""מ. (1), קפד, קב-קיב, (2) דף. דפים ד, טז-יח חסר. דף אחד השייך לאחרי דף קטז - נכרך בכת""י מס' 1102 (דף רלו).",V,,,,V,,V,,,,,,,,214
83,לד,"דרושי אדמו""ר מהר""ש המשך מים רבים תרלו 131 דף בהיכל",,,,,,V,V,,,,,,,,0
84,לד,"בוך משתאה - כך נקרא בכ""מ (ע""ש התחלתו). כולל דרושי אדמו""ר מהרש""נ מבאברויסק * בגוכתי""ק. מהשנים תרנ-תרנה בתחלתו מפתח - מבוך זה ומבוך"" את קשתי"" (מס'                                .(91 17*22.5 ס""מ. (4), תמו דף. על כריכה האחורית מבפנים: דאנציג השווה מס'                           .304",V,,,,,,V,,,,,V,,,456
85,לד,"כנראה דרושי אדמו""ר מהרש""ז מקאפוסט 18*22 ס""מ. (257) דף.",,,,,,,V,,,,V,,,,268
86,לד,"בוך ולאחותו הבתולה - כך נק' בכ""מ (ע""ש התחלתו). כולל דרושי אדמו""ר מהרש""נ מבאברויסק * בגוכתי""ק. 18*22 ס""מ. שצט דף. חסר דפים ת-תט. על כריכה האחורית מבפנים: דאנציג",V,,,,,,V,,,,,V,,,431
87,מג,"שבחי האר""י בשם תולדות יצחק כתיבה אשכנזית רהוטה על הכריכה: תקמח 21.5*17 ס""מ. נמצא דפים ט-כד",,,,,,,,,,,,,,,18
88,לד,"דרושי אדמו""ר מהרש""נ מבאברויסק כת""י מעתיקים, ואולי כמה מהם הנחות. משנות תרסג-תרעא על דף המגן מבפנים - חותמת ברוסית: צאצאי האזרח הנכבד מ. שניאורסאהןבאברויסק בדף האחרון: דאנציג 18*22 ס""מ. (330) דף.",,,,,,,V,,,,,V,,,334
